emprestimo 18/23;Emprestimos;Cartão de Crédito;Prioridade Financeira;01/12/2016;-134,82;01/01/2017
bicicleta 7/10;Bens/Casa;Cartão de Crédito;Estilo de Vida;01/12/2016;-79;01/01/2017
celular 9/12;Bens/Casa;Cartão de Crédito;Estilo de Vida;01/12/2016;-64,25;01/01/2017
parcela viagem gol 10/10;Viagem;Cartão de Crédito;Estilo de Vida;01/12/2016;-43,1;01/01/2017
curso lucas 3/12;Sistema;Nubank;Prioridade Financeira;01/12/2016;-27;01/01/2017
curso fabi 3/12;Negocio Fabi;Nubank;Negocio Fabi;01/12/2016;-14,7;01/01/2017
visavale;Visavale;VisaVale;;01/12/2016;365;01/01/2017
compra fabi 2/6;negocio fabi;nubank;Negocio Fabi;01/01/2017;-66,66;01/01/2017
americanas 2/8;Compras/presentes;nubank;Estilo de Vida;01/01/2017;-31,62;01/01/2017
ricardo eletro 7/10;negocio fabi;nubank;Negocio Fabi;01/01/2017;-28,79;01/01/2017
zeni;compras/presentes;Conta Corrente BB;Estilo de Vida;02/01/2017;-337;02/01/2017
brasilprev;(-) p/investimento;Conta Corrente BB;Prioridade Financeira;02/01/2017;-201,52;02/01/2017
brambila;combustível;Conta Corrente BB;essencial;02/01/2017;-166,51;02/01/2017
mercado;mercado;Conta Corrente BB;essencial;02/01/2017;-116,77;02/01/2017
espartilho;compras/presentes;Conta Corrente BB;Estilo de Vida;02/01/2017;-85;02/01/2017
agua;Luz/Água;Conta Corrente BB;essencial;02/01/2017;-78,95;02/01/2017
almoco;alimentação;Conta Corrente BB;Estilo de Vida;02/01/2017;-77,94;02/01/2017
fruto maduro;Negocio Fabi;Conta Corrente BB;Negocio Fabi;02/01/2017;-75;02/01/2017
agua dna salete;Dn salete;Conta Corrente BB;;02/01/2017;-60,73;02/01/2017
almoco mineiro;alimentação;Conta Corrente BB;Estilo de Vida;02/01/2017;-59,69;02/01/2017
fiorela ;alimentação;Conta Corrente BB;essencial;02/01/2017;-42,54;02/01/2017
celular fabi;Internet/Telefone/TV;Conta Corrente BB;essencial;02/01/2017;-35,9;02/01/2017
big;mercado;Conta Corrente BB;Estilo de Vida;02/01/2017;-19,9;02/01/2017
alimentacao;alimentação;Conta Corrente BB;essencial;02/01/2017;-8;02/01/2017
predileta;alimentação;Conta Corrente BB;essencial;02/01/2017;-6,1;02/01/2017
fiorela ;alimentação;Conta Corrente BB;essencial;02/01/2017;-5,33;02/01/2017
brasilprev;Brasilprev;;;02/01/2017;201,52;02/01/2017
faturamento fabi;Faturamento Fabi;Conta Corrente BB;;02/01/2017;1.400,00;02/01/2017
embrapel;Negocio Fabi;Conta Corrente BB;Negocio Fabi;03/01/2017;-87,75;03/01/2017
campoplastic;Negocio Fabi;Conta Corrente BB;Negocio Fabi;03/01/2017;-85,6;03/01/2017
tbone;alimentação;Conta Corrente BB;essencial;03/01/2017;-35;03/01/2017
zeny;compras/presentes;Conta Corrente BB;Estilo de Vida;03/01/2017;-19;03/01/2017
fibrafio;Entradas Sistema;Conta Corrente BB;;03/01/2017;200;03/01/2017
faturamento fabi;Faturamento Fabi;Conta Corrente BB;;03/01/2017;590;03/01/2017
nubank;;Conta Corrente BB;;04/01/2017;-226,7;04/01/2017
tbone;alimentação;Conta Corrente BB;essencial;04/01/2017;-6;04/01/2017
mercado;mercado;Conta Corrente BB;essencial;04/01/2017;-2,99;04/01/2017
resgate cdb;Investimento BB;;;05/01/2017;-1.000,00;05/01/2017
pgto cartao de credito;;Conta Corrente BB;;05/01/2017;-630,1;05/01/2017
roupas;compras/presentes;Conta Corrente BB;Estilo de Vida;05/01/2017;-433;05/01/2017
pgto cartao de credito;;Conta Corrente BB;;05/01/2017;-420,66;05/01/2017
smiles;Viagem;Cartão de Crédito;Estilo de Vida;05/01/2017;-185;05/01/2017
aliexpress;Negocio Fabi;Cartão de Crédito;Negocio Fabi;05/01/2017;-149,13;05/01/2017
botstrap;Sistema;Cartão de Crédito;Prioridade Financeira;05/01/2017;-82;05/01/2017
mercado pago;Negocio Fabi;Cartão de Crédito;Negocio Fabi;05/01/2017;-39;05/01/2017
farmacia;outros;Conta Corrente BB;essencial;05/01/2017;-13,47;05/01/2017
multa ;Impostos/Seguros/Tarifas;Cartão de Crédito;Prioridade Financeira;05/01/2017;-12,86;05/01/2017
mercado pago fabi 1/12;Negocio Fabi;Cartão de Crédito;Negocio Fabi;05/01/2017;-12,49;05/01/2017
tbone;alimentação;Conta Corrente BB;essencial;05/01/2017;-12;05/01/2017
minercraft;outros;Cartão de Crédito;Estilo de Vida;05/01/2017;-11,99;05/01/2017
predileta;alimentação;Conta Corrente BB;essencial;05/01/2017;-5,86;05/01/2017
amazon;Sistema;Cartão de Crédito;Prioridade Financeira;05/01/2017;-1,4;05/01/2017
pgto cartao de credito;;Cartão de Crédito;;05/01/2017;1.050,76;05/01/2017
resgate cdb;(-) p/investimento;Conta Corrente BB;;05/01/2017;1.063,52;05/01/2017
br3 ;restaurante;Conta Corrente BB;Estilo de Vida;06/01/2017;-49;06/01/2017
campoplastic;Negocio Fabi;Conta Corrente BB;Negocio Fabi;06/01/2017;-3,75;06/01/2017
salario;Salario Lucas;Conta Corrente BB;;06/01/2017;4.651,42;06/01/2017
aplicacao cbb;(-) p/investimento;Conta Corrente BB;Prioridade Financeira;09/01/2017;-2.000,00;09/01/2017
aleie carioca;compras/presentes;Conta Corrente BB;Estilo de Vida;09/01/2017;-183,5;09/01/2017
energia eletrica;Luz/Água;Conta Corrente BB;essencial;09/01/2017;-155,27;09/01/2017
luz dna salete;Dn salete;Conta Corrente BB;;09/01/2017;-77,08;09/01/2017
oasis;alimentação;Conta Corrente BB;essencial;09/01/2017;-53,49;09/01/2017
mercado;mercado;Conta Corrente BB;essencial;09/01/2017;-44,77;09/01/2017
pizza;alimentação;Conta Corrente BB;essencial;09/01/2017;-29,49;09/01/2017
marcfarma;saúde;Conta Corrente BB;essencial;09/01/2017;-26,61;09/01/2017
predileta;alimentação;Conta Corrente BB;essencial;09/01/2017;-15,55;09/01/2017
tbone;alimentação;Conta Corrente BB;essencial;09/01/2017;-14;09/01/2017
deposito fabi;Faturamento Fabi;Conta Corrente BB;;09/01/2017;400;09/01/2017
aplicacao cbb;Investimento BB;;;09/01/2017;2.000,00;09/01/2017
viagem 9/12;Viagem;Conta Corrente BB;Estilo de Vida;10/01/2017;-648,32;10/01/2017
muyfato;mercado;Conta Corrente BB;essencial;10/01/2017;-304,36;10/01/2017
datacenter;Sistema;Conta Corrente BB;Prioridade Financeira;10/01/2017;-272,03;10/01/2017
telefone lucas 8/10;compras/presentes;Conta Corrente BB;Estilo de Vida;10/01/2017;-194,4;10/01/2017
ourocap;(-) p/investimento;Conta Corrente BB;Prioridade Financeira;10/01/2017;-130,53;10/01/2017
tbone;alimentação;Conta Corrente BB;essencial;10/01/2017;-35;10/01/2017
ourocap;Ourocap;;;10/01/2017;130,53;10/01/2017
embrapel;negocio fabi;nubank;Negocio Fabi;11/01/2017;-120;11/01/2017
embrapel;Negocio Fabi;Conta Corrente BB;Negocio Fabi;11/01/2017;-106,15;11/01/2017
